Extreme price: 0.0000000000000000008784318107517552 (sqrt: 74256352211031128860, raw: 0.0000000000000000008784318107517552, adjustment: 1)
Extreme price: 0.000000000022238745747155753 (sqrt: 11815027275562868566097501945, raw: 0.02223874574715575, adjustment: 0.000000001)
Extreme price: 59617386051.638985 (sqrt: 19344880393632852581631357448713820, raw: 59617386051.638985, adjustment: 1)
Extreme price: 0.000000000000000000874585661115639 (sqrt: 74093610865804659275, raw: 0.000000000000000000874585661115639, adjustment: 1)
Extreme price: 0.0000000000000000008695312582180346 (sqrt: 73879199846326094323, raw: 0.0000000000000000008695312582180346, adjustment: 1)
Extreme price: 0.000000000000000000869534785821697 (sqrt: 73879349706534786067, raw: 0.000000000000000000869534785821697, adjustment: 1)
Extreme price: 0.00000000002228629289344436 (sqrt: 11827650983892593903305311721, raw: 0.02228629289344436, adjustment: 0.000000001)
Extreme price: 0.0000000000000000008742446226379668 (sqrt: 74079163318123778444, raw: 0.0000000000000000008742446226379668, adjustment: 1)
Extreme price: 0.000000000022074626166051476 (sqrt: 372242762474885403477732, raw: 0.000000000022074626166051476, adjustment: 1)
Extreme price: 0.0000000000023808130598123654 (sqrt: 122248132048630792179391, raw: 0.0000000000023808130598123654, adjustment: 1)
Extreme price: 0.000000000024005358984788884 (sqrt: 12275344416430789199929225369, raw: 0.024005358984788883, adjustment: 0.000000001)
Extreme price: 0.000000000024025112335388715 (sqrt: 12280393899762679334812349279, raw: 0.024025112335388715, adjustment: 0.000000001)
Extreme price: 15504087704.786646 (sqrt: 9865127259052645426423355697227466, raw: 15504087704.786646, adjustment: 1)
Extreme price: 0.00000000000000000088665515321672 (sqrt: 74603113882372337804, raw: 0.00000000000000000088665515321672, adjustment: 1)
Extreme price: 0.000000000023933079859372684 (sqrt: 12256850211959690141728093165, raw: 0.023933079859372684, adjustment: 0.000000001)
Extreme price: 0.0000000000237886775807472 (sqrt: 12219817892450872509424277120, raw: 0.023788677580747198, adjustment: 0.000000001)
Extreme price: 0.0000000000000000008858758970387804 (sqrt: 74570323391006961554, raw: 0.0000000000000000008858758970387804, adjustment: 1)
Extreme price: 0.00000000005594321103162059 (sqrt: 592588581605897036298934, raw: 0.00000000005594321103162059, adjustment: 1)
Extreme price: 428182262924.3636 (sqrt: 51843453064628314314852193895070112, raw: 428182262924.3636, adjustment: 1)
Extreme price: 0.000000000022040183812394424 (sqrt: 371952249700176494290860, raw: 0.000000000022040183812394424, adjustment: 1)
Extreme price: 0.000000000023801949900656312 (sqrt: 12223226293699898350470385759, raw: 0.02380194990065631, adjustment: 0.000000001)
Extreme price: 876147825829.9951 (sqrt: 74159753491855195832758590824141990, raw: 876147825829.9951, adjustment: 1)
Extreme price: 0.000000000023569626692900558 (sqrt: 12163426516258579011034342171, raw: 0.023569626692900556, adjustment: 0.000000001)
Extreme price: 0.000000000023029605328812363 (sqrt: 12023276407650221490744154330, raw: 0.02302960532881236, adjustment: 0.000000001)
Extreme price: 909537922835.7657 (sqrt: 75559659037295702557049035028336211, raw: 909537922835.7657, adjustment: 1)
Extreme price: 0.000000000000000000887642725446933 (sqrt: 74644649455311299761, raw: 0.000000000000000000887642725446933, adjustment: 1)
Extreme price: 967302680452.4486 (sqrt: 77922123521579245110557706290886088, raw: 967302680452.4486, adjustment: 1)
Extreme price: 752396835053.0789 (sqrt: 68723150968295447360224721214499996, raw: 752396835053.0789, adjustment: 1)
Extreme price: 0.00000000002440182789464114 (sqrt: 12376298163185104510765759059, raw: 0.024401827894641136, adjustment: 0.000000001)
Extreme price: 0.000000000000000000888246829404346 (sqrt: 74670045629460655010, raw: 0.000000000000000000888246829404346, adjustment: 1)
Extreme price: 0.000000000002421852207225969 (sqrt: 123297253387203204329782, raw: 0.000000000002421852207225969, adjustment: 1)
